NameKey,IndirectName,URI,FSUID
AbdelRazigY,"AbdelRazig, Yassir",https://authorities.lib.fsu.edu/etd-naf/yabdelrazig,yabdelrazig
AbellN,"Abell, Neil",http://id.loc.gov/authorities/names/n2008072417,nabell
AbraimovD,"Abraimov, Dmytro",https://authorities.lib.fsu.edu/etd-naf/abraimov,abraimov
AbsilP,"Absil, Pierre-Antoine",https://authorities.lib.fsu.edu/etd-naf/pabsil,pabsil
AdamsJ,"Adams, Jonathan L.",https://authorities.lib.fsu.edu/etd-naf/jladams,jladams
AdamsT,"Adams, Todd",http://id.loc.gov/authorities/names/no97041570,tadams
AgasheA,"Agashe, Amod S.",https://authorities.lib.fsu.edu/etd-naf/agashe,agashe
AggarwalS,"Aggarwal, Sudhir",http://id.loc.gov/authorities/names/nr92012137,saggarwal
AhlquistJ,"Ahlquist, Jon E.",http://id.loc.gov/authorities/names/n82070328,jeahlquist
AhmadH,"Ahmad, Hafiz",https://authorities.lib.fsu.edu/etd-naf/hha4451,hha4451
AkibaM,"Akiba, Motoko",http://id.loc.gov/authorities/names/no2003057796,makiba
Al-SaberS,"Al-Saber, Samer",https://authorities.lib.fsu.edu/etd-naf/salsaber,salsaber
AlabuginI,"Alabugin, Igor V.(Professor)",http://id.loc.gov/authorities/names/no2016054557,ialabugin
AlamoR,"Alamo, Rufina G.",https://authorities.lib.fsu.edu/etd-naf/alamo,alamo
Albrecht-SchmittT,"Albrecht-Schmitt, Thomas E.",http://id.loc.gov/authorities/names/n2008078041,talbrechtschmitt
AldrovandiE,"Aldrovandi, Ettore",http://viaf.org/viaf/272734013,ealdrovandi
AliJ,"Ali, Jamel",https://authorities.lib.fsu.edu/etd-naf/jali,jali
Almaraz-CalderonS,"Almaraz-Calderon, Sergio J.",https://authorities.lib.fsu.edu/etd-naf/salmarazcalderon,salmarazcalderon
AlmondR,"Almond, Russell G.",http://id.loc.gov/authorities/names/n94098012,ralmond
AlmondR,"Almond, Russell G.",http://id.loc.gov/authorities/names/n94098012,
AluffiP,"Aluffi, Paolo",http://id.loc.gov/authorities/names/n2009006352,paluffi
AlviF,"Alvi, Farrukh S.",https://authorities.lib.fsu.edu/etd-naf/falvi,falvi
AmslerE,"Amsler, Eva",http://id.loc.gov/authorities/names/no2008068705,eamsler
AndersonL,"Anderson, Leon(Drummer)",http://id.loc.gov/authorities/names/no2009203546,
AndreiP,"Andrei, Petru",https://authorities.lib.fsu.edu/etd-naf/pandrei,pandrei
AngJ,"Ang, James S.",http://id.loc.gov/authorities/names/n77004513,jang
AnubiO,"Anubi, Olugbenga Moses",https://authorities.lib.fsu.edu/etd-naf/oanubi,oanubi
ArbeitmanM,"Arbeitman, Michelle N.",https://authorities.lib.fsu.edu/etd-naf/marbeitman,marbeitman
ArghandehR,"Arghandeh, Reza",http://id.loc.gov/authorities/names/no2018075428,
ArjmandiB,"Arjmandi, Bahram H.",https://authorities.lib.fsu.edu/etd-naf/barjmandi,barjmandi
ArmstrongD,"Armstrong, Deborah J.",http://id.loc.gov/authorities/names/n2005004803,
ArpanL,"Arpan, Laura M.",https://authorities.lib.fsu.edu/etd-naf/larpan,larpan
AtkinsJ,"Atkins, Jennifer",http://id.loc.gov/authorities/names/no2008105762,jatkins
AtoliaM,"Atolia, Manoj",https://authorities.lib.fsu.edu/etd-naf/matolia,matolia
AutoreD,"Autore, Donald M.",https://authorities.lib.fsu.edu/etd-naf/dautore,dautore
AuzenneV,"Auzenne, Valliere Richard",http://id.loc.gov/authorities/names/n92087462,
Baco-TaylorA,"Baco-Taylor, Amy R.",http://id.loc.gov/authorities/names/no2007101869,abacotaylor
BakanM,"Bakan, Michael B.",http://id.loc.gov/authorities/names/n98098992,mbakan
BakerE,"Baker, Earl J.",http://id.loc.gov/authorities/names/n81076062,
BalesW,"Bales, William D.",http://viaf.org/viaf/18146332829718730188,wbales
BalicasL,"Balicas, Luis",https://authorities.lib.fsu.edu/etd-naf/balicas,balicas
BallasS,"Ballas, Samuel A.",https://authorities.lib.fsu.edu/etd-naf/sballas,sballas
BarbuA,"Barbu, Adrian G.",http://id.loc.gov/authorities/names/no2017071128,abarbu
BarrettA,"Barrett, Anne E.",https://authorities.lib.fsu.edu/etd-naf/abarrett,abarrett
BarrilleauxC,"Barrilleaux, Charles",http://id.loc.gov/authorities/names/n2016028462,cbarrilleaux
BarthM,"Barth, Mary",https://authorities.lib.fsu.edu/etd-naf/nf-mbarth,nf-mbarth
BassH,"Bass, Hank W.",http://id.loc.gov/authorities/names/nb2012004932,hbass
BauerM,"Bauer, Martin",https://authorities.lib.fsu.edu/etd-naf/mbauer2,mbauer2
BaumbachR,"Baumbach, Ryan E.",https://authorities.lib.fsu.edu/etd-naf/rbaumbach,rbaumbach
BaumeisterR,"Baumeister, Roy F.",http://id.loc.gov/authorities/names/n85130352,rbaumeister
BaumerE,"Baumer, Eric P.",http://id.loc.gov/authorities/names/ns2012002852,
BearorK,"Bearor, Karen A.",http://id.loc.gov/authorities/names/n92121683,kbearor
BeattyC,"Beatty, Cameron C.",https://authorities.lib.fsu.edu/etd-naf/cbeatty,cbeatty
BeaumontP,"Beaumont, Paul M.",http://id.loc.gov/authorities/names/n88207770,beaumont
BeaverK,"Beaver, Kevin M.",http://id.loc.gov/authorities/names/n2008021550,kbeaver
BeazerQ,"Beazer, Quintin H.",https://authorities.lib.fsu.edu/etd-naf/qbeazer,qbeazer
BeckerB,"Becker, Betsy Jane",http://id.loc.gov/authorities/names/n87152824,bbecker
BeckerM,"Becker, Martin Swanbrow",https://authorities.lib.fsu.edu/etd-naf/mswanbrowbecker,mswanbrowbecker
BeekmanC,"Beekman, Christianne",https://authorities.lib.fsu.edu/etd-naf/beekman,beekman
BeerliP,"Beerli, Peter",https://authorities.lib.fsu.edu/etd-naf/beerli,beerli
BelieuE,"Belieu, Erin",http://id.loc.gov/authorities/names/n95028067,ebelieu
BensonB,"Benson, Bruce L.",http://id.loc.gov/authorities/names/n88232109,bbenson
BergB,"Berg, Bernd A.",http://id.loc.gov/authorities/names/no2005010557,bberg
BergP,"Berg, Peter",https://authorities.lib.fsu.edu/etd-naf/nf-pberg,nf-pberg
BerlanD,"Berlan, David G.",https://authorities.lib.fsu.edu/etd-naf/dberlan,dberlan
BernadinS,"Bernadin, Shonda",https://authorities.lib.fsu.edu/etd-naf/swalker,swalker
BerryF,"Berry, Frances Stokes",http://id.loc.gov/authorities/names/n81065572,fberry
BerryR,"Berry, R. M.",http://id.loc.gov/authorities/names/n84027912,rberry
BerryW,"Berry, William Dale",http://id.loc.gov/authorities/names/n82275206,
BertramR,"Bertram, R.",http://id.loc.gov/authorities/names/no2005086590,
BhideP,"Bhide, Pradeep",https://authorities.lib.fsu.edu/etd-naf/pbhide,pbhide
BillingsB,"Billings, Bruce K.",https://authorities.lib.fsu.edu/etd-naf/bbillings,bbillings
BiniciS,"Binici, Salih",http://id.loc.gov/authorities/names/no2007115316,ssb2208
BishD,"Bish, Deborah",http://id.loc.gov/authorities/names/no2008077068,dbish
BishopM,"Bishop, Michael A.",http://id.loc.gov/authorities/names/n2004094285,mbishop
BlaberM,"Blaber, Michael",https://authorities.lib.fsu.edu/etd-naf/mblaber,mblaber
BlaufarbR,"Blaufarb, Rafe",http://id.loc.gov/authorities/names/n2002034649,rblaufarb
BleiholderC,"Bleiholder, Christian",http://viaf.org/viaf/35658877,cbleiholder
BlessingS,"Blessing, Susan K.",http://id.loc.gov/authorities/names/no92016155,sblessing
BlombergT,"Blomberg, Thomas G.",http://id.loc.gov/authorities/names/n79075352,tblomberg
BochevP,"Bochev, Pavel B.",http://id.loc.gov/authorities/names/no2007063563,
BoebingerG,"Boebinger, Gregory S.",https://authorities.lib.fsu.edu/etd-naf/gboebing,gboebing
BoehrerB,"Boehrer, Bruce Thomas",http://id.loc.gov/authorities/names/n91125062,bboehrer
Boel-StudtS,"Boel-Studt, Shamra M.",https://authorities.lib.fsu.edu/etd-naf/sboelstudt,sboelstudt
BonesteelN,"Bonesteel, N. E.",http://id.loc.gov/authorities/names/n2002162741,nbonesteel
BootW,"Boot, Walter Richard",http://id.loc.gov/authorities/names/no2013118586,wboot
BornP,"Born, Patricia",http://id.loc.gov/authorities/names/no96025406,pborn
BorovskyA,"Borovsky, Arielle",https://authorities.lib.fsu.edu/etd-naf/aborovsky,aborovsky
BorzyskowskiI,"Borzyskowski, Inken von",http://id.loc.gov/authorities/names/no2018133616,
BourassaM,"Bourassa, Mark Allan",http://viaf.org/viaf/105342888,mbourassa
BourusT,"Bourus, Terri",http://id.loc.gov/authorities/names/n2006017272,
BoutinA,"Boutin, Aimée",http://id.loc.gov/authorities/names/n00027515,
BowersJ,"Bowers, Judy K.",http://id.loc.gov/authorities/names/no2010134185,jbowers
BowersP,"Bowers, Philip L.",http://id.loc.gov/authorities/names/n2004003517,pbowers
BoyleH,"Boyle, Helen N.",http://id.loc.gov/authorities/names/n2004049712,hboyle
BradleyJ,"Bradley, Jonathan R.",https://authorities.lib.fsu.edu/etd-naf/jrbradley,jrbradley
BradyM,"Brady, Michael K.",https://authorities.lib.fsu.edu/etd-naf/mbrady,mbrady
BrewerC,"Brewer, Charles E.",http://id.loc.gov/authorities/names/n88679431,cbrewer
BrewsterK,"Brewster, Karin L.",http://id.loc.gov/authorities/names/no2014068565,brewster
BreyW,"Brey, William W.",https://authorities.lib.fsu.edu/etd-naf/wbrey,wbrey
BristerW,"Brister, Wanda",http://id.loc.gov/authorities/names/no2008067682,wbristerrachwal
BroomeJ,"Broome, Jeffrey L.",http://id.loc.gov/authorities/names/no2007010325,jbroome
BrowerR,"Brower, Ralph S.",http://id.loc.gov/authorities/names/no2001091993,rbrower
BrownJ,"Brown, Jeff R.",https://authorities.lib.fsu.edu/etd-naf/jrbrown3,jrbrown3
BrownsteinN,"Brownstein, Naomi Chana ",https://authorities.lib.fsu.edu/etd-naf/ncb03d,ncb03d
BroylesM,"Broyles, Michael",http://id.loc.gov/authorities/names/n88291333,mbroyles
BruntonS,"Brunton, Steven L.",http://id.loc.gov/authorities/names/n2018038223,
BruscoM,"Brusco, Michael J.",http://id.loc.gov/authorities/names/no2005109261,mbrusco
BuchlerM,"Buchler, Michael Howard",http://id.loc.gov/authorities/names/no98088565,mbuchler
BugajK,"Bugaj, Kasia",http://id.loc.gov/authorities/names/no2015096684,kbugaj
BuhrmanK,"Buhrman, Kristina Mairi",http://viaf.org/viaf/113150565593806250133,kbuhrman
BurdetteA,"Burdette, Amy M.",https://authorities.lib.fsu.edu/etd-naf/aburdette,aburdette
BurgessS,"Burgess, Scott C.",https://authorities.lib.fsu.edu/etd-naf/sburgess,sburgess
BurmesterM,"Burmester, Mike",http://id.loc.gov/authorities/names/nb2006019256,mburmester
BurnettG,"Burnett, Gary",http://id.loc.gov/authorities/names/n2009070229,gburnett
BurnettK,"Burnett, Kathleen M.",https://authorities.lib.fsu.edu/etd-naf/kburnett,kburnett
BurnettW,"Burnett, William C.",http://id.loc.gov/authorities/names/n88231219,wburnett
