source|file|fileFamily|familyInitial|nameString|URI|family|given|fuller|suffix
madsData|||AbdelRazigY|Yassir AbdelRazig|https://authorities.lib.fsu.edu/etd-naf/yabdelrazig|AbdelRazig|Yassir||
madsData|||AbellN|Neil Abell|http://id.loc.gov/authorities/names/n2008072417|Abell|Neil||
madsData|||AbichouT|Tarek Abichou|https://authorities.lib.fsu.edu/etd-naf/tabichou|Abichou|Tarek||
madsData|||AbraimovD|Dmytro Abraimov|https://authorities.lib.fsu.edu/etd-naf/abraimov|Abraimov|Dmytro||
madsData|||AbsilP|Pierre-Antoine Absil|https://authorities.lib.fsu.edu/etd-naf/pabsil|Absil|Pierre-Antoine||
madsData|||AdamsJ|Jonathan L. Adams|https://authorities.lib.fsu.edu/etd-naf/jladams|Adams|Jonathan L.||
madsData|||AdamsT|Todd Adams|http://id.loc.gov/authorities/names/no97041570|Adams|Todd||
madsData|||AgasheA|Amod S. Agashe|https://authorities.lib.fsu.edu/etd-naf/agashe|Agashe|Amod S.|(Amod Sadanand)|
madsData|||AggarwalS|Sudhir Aggarwal|http://id.loc.gov/authorities/names/nr92012137|Aggarwal|Sudhir||
madsData|||AhlerD|Douglas J. Ahler|https://authorities.lib.fsu.edu/etd-naf/dahler|Ahler|Douglas J.||
madsData|||AhlquistJ|Jon E. Ahlquist|http://id.loc.gov/authorities/names/n82070328|Ahlquist|Jon E.||
madsData|||AhmadH|Hafiz Ahmad|https://authorities.lib.fsu.edu/etd-naf/hha4451|Ahmad|Hafiz||
madsData|||AkibaM|Motoko Akiba|http://id.loc.gov/authorities/names/no2003057796|Akiba|Motoko||
madsData|||Al-SaberS|Samer Al-Saber|https://authorities.lib.fsu.edu/etd-naf/salsaber|Al-Saber|Samer||
madsData|||AlabuginI|Igor V. Alabugin (Professor)|http://id.loc.gov/authorities/names/no2016054557|Alabugin|Igor V.||(Professor)
madsData|||AlamoR|Rufina G. Alamo|https://authorities.lib.fsu.edu/etd-naf/alamo|Alamo|Rufina G.||
madsData|||Albrecht-SchmittT|Thomas E. Albrecht-Schmitt|http://id.loc.gov/authorities/names/n2008078041|Albrecht-Schmitt|Thomas E.||
madsData|||AldrovandiE|Ettore Aldrovandi|http://viaf.org/viaf/272734013|Aldrovandi|Ettore||
madsData|||AliJ|Jamel Ali|https://authorities.lib.fsu.edu/etd-naf/jali|Ali|Jamel||
madsData|||Almaraz-CalderonS|Sergio J. Almaraz-Calderon|https://authorities.lib.fsu.edu/etd-naf/salmarazcalderon|Almaraz-Calderon|Sergio J.||
madsData|||AlmondR|Russell G. Almond|http://id.loc.gov/authorities/names/n94098012|Almond|Russell G.||
madsData|||AluffiP|Paolo Aluffi 1960-|http://id.loc.gov/authorities/names/n2009006352|Aluffi|Paolo||
madsData|||AlviF|Farrukh S. Alvi|https://authorities.lib.fsu.edu/etd-naf/falvi|Alvi|Farrukh S.||
madsData|||AmslerE|Eva Amsler|http://id.loc.gov/authorities/names/no2008068705|Amsler|Eva||
madsData|||AndersonL|Leon Anderson (Drummer)|http://id.loc.gov/authorities/names/no2009203546|Anderson|Leon||(Drummer)
madsData|||AndreiP|Petru Andrei|https://authorities.lib.fsu.edu/etd-naf/pandrei|Andrei|Petru||
madsData|||AngJ|James S. Ang|http://id.loc.gov/authorities/names/n77004513|Ang|James S.||
madsData|||AnubiO|Olugbenga Moses Anubi|https://authorities.lib.fsu.edu/etd-naf/oanubi|Anubi|Olugbenga Moses||
