File|NameKey|IndirectName|Family|Given|Terms|Role
AbdelMagid_fsu_0071E_18484.pdf|AbdelRazigY|AbdelRazig, Yassir|AbdelRazig|Yassir||Professor Directing Dissertation
AbdelMagid_fsu_0071E_18484.pdf|VanliO|Vanli, Omer Ardan|Vanli|Omer Ardan||University Representative
AbdelMagid_fsu_0071E_18484.pdf|FelknerJ|Felkner, John|Felkner|John||Committee Member
AbdelMagid_fsu_0071E_18484.pdf|SobanjoJ|Sobanjo, John|Sobanjo|John||Committee Member
AbdelMagid_fsu_0071E_18484.pdf|ChoiJ|Choi, Juyeong|Choi|Juyeong||Committee Member
Adesina_fsu_0071N_18391.pdf|KimbrellJ|Kimbrell, James|Kimbrell|James||Professor Directing Dissertation
Adesina_fsu_0071N_18391.pdf|GaleanoJ|Galeano, Juan Carlos|Galeano|Juan Carlos||University Representative
Adesina_fsu_0071N_18391.pdf|WilsonL|Wilson, L. Lamar|Wilson|L. Lamar||Committee Member
Adesina_fsu_0071N_18391.pdf|CaputiC|Caputi, Celia|Caputi|Celia||Committee Member
Adesina_fsu_0071N_18391.pdf|OkonkwoC|Okonkwo, Christopher|Okonkwo|Christopher||Committee Member
AguirreNunes_fsu_0071N_17999.pdf|SpeerK|Speer, Kevin|Speer|Kevin||Professor Directing Thesis
AguirreNunes_fsu_0071N_17999.pdf|HuettelM|Huettel, Markus|Huettel|Markus||Committee Member
AguirreNunes_fsu_0071N_17999.pdf|ChassignetE|Chassignet, Eric|Chassignet|Eric||Committee Member
Akinrinmade_fsu_0071E_18025.pdf|ZuilkowskiS|Zuilkowski, Stephanie Simmons|Zuilkowski|Stephanie Simmons||Professor Directing Dissertation
Akinrinmade_fsu_0071E_18025.pdf|HellwegJ|Hellweg, Joseph|Hellweg|Joseph||University Representative
Akinrinmade_fsu_0071E_18025.pdf|IatarolaP|Iatarola, Patrice|Iatarola|Patrice||Committee Member
Akinrinmade_fsu_0071E_18025.pdf|HerringtonC|Herrington, Carolyn|Herrington|Carolyn||Committee Member
Ale_fsu_0071E_18701.pdf|JamesJ|James, Jeffrey|James|Jeffrey||Professor Co-Directing Dissertation
Ale_fsu_0071E_18701.pdf|GiardinaM|Giardina, Michael|Giardina|Michael||Professor Co-Directing Dissertation
Ale_fsu_0071E_18701.pdf|EcclesD|Eccles, David|Eccles|David||University Representative
Ale_fsu_0071E_18701.pdf|KimA|Kim, Amy|Kim|Amy||Committee Member
Algahtani_fsu_0071E_17898.pdf|PatrangenaruV|Patrangenaru, Victor|Patrangenaru|Victor||Professor Co-Directing Dissertation
Algahtani_fsu_0071E_17898.pdf|PaigeR|Paige, Robert|Paige|Robert||Professor Co-Directing Dissertation
Algahtani_fsu_0071E_17898.pdf|AndreiP|Andrei, Petru|Andrei|Petru||University Representative
Algahtani_fsu_0071E_17898.pdf|BarbuA|Barbu, Adrian|Barbu|Adrian||Committee Member
Algahtani_fsu_0071E_17898.pdf|SinhaD|Sinha, Debajyoti|Sinha|Debajyoti||Committee Member
ALINEJAD_fsu_0071E_18726.pdf|JungS|Jung, Sungmoon|Jung|Sungmoon||Professor Directing Dissertation
ALINEJAD_fsu_0071E_18726.pdf|LiuX|Liu, Xiuwen|Liu|Xiuwen||University Representative
ALINEJAD_fsu_0071E_18726.pdf|OzguvenE|Ozguven, Eren Erman|Ozguven|Eren Erman||Committee Member
