File|NameKey|IndirectName|Family|Given|Terms|Role
Adams_fsu_0071E_18299.pdf|Stuckey-FrenchE|Stuckey-French, Elizabeth|Stuckey-French|Elizabeth||Professor Directing Dissertation
Adams_fsu_0071E_18299.pdf|WakamiyaL|Wakamiya, Lisa|Wakamiya|Lisa||University Representative
Adams_fsu_0071E_18299.pdf|HowardR|Howard, Ravi|Howard|Ravi||Committee Member
Adams_fsu_0071E_18299.pdf|WardS|Ward, Susan C.|Ward|Susan C.||Committee Member
Ali_fsu_0071N_18425.pdf|KeelP|Keel, Pamela|Keel|Pamela||Professor Directing Thesis
Ali_fsu_0071N_18425.pdf|JoinerT|Joiner, Thomas|Joiner|Thomas||Committee Member
Ali_fsu_0071N_18425.pdf|SchatschneiderC|Schatschneider, Chris|Schatschneider|Chris||Committee Member
Alketbi_fsu_0071E_18386.pdf|JonesI|Jones, Ithel|Jones|Ithel||Professor Directing Dissertation
Alketbi_fsu_0071E_18386.pdf|BroomeJ|Broome, Jeffrey|Broome|Jeffrey||University Representative
Alketbi_fsu_0071E_18386.pdf|SchoenR|Schoen, Robert C.|Schoen|Robert C.||Committee Member
Alketbi_fsu_0071E_18386.pdf|DavisA|Davis, Angela F.|Davis|Angela F.||Committee Member
Ameli_fsu_0071E_18355.pdf|AnubiO|Anubi, Olugbenga Moses|Anubi|Olugbenga Moses||Professor Directing Thesis
Ameli_fsu_0071E_18355.pdf|DeBrunnerV|DeBrunner, Victor|DeBrunner|Victor||Committee Member
Ameli_fsu_0071E_18355.pdf|RobertsR|Roberts, Rodney|Roberts|Rodney||Committee Member
Ameli_fsu_0071E_18355.pdf|MooreC|Moore, Carl|Moore|Carl||Committee Member
Bae_fsu_0071E_18313.pdf|NiuX|Niu, Xufeng|Niu|Xufeng||Professor Directing Dissertation
Bae_fsu_0071E_18313.pdf|NowakowskiR|Nowakowski, Richard|Nowakowski|Richard||University Representative
Bae_fsu_0071E_18313.pdf|WuC|Wu, Chong|Wu|Chong||Committee Member
Bae_fsu_0071E_18313.pdf|BradleyJ|Bradley, Jonathan|Bradley|Jonathan||Committee Member
Bae_fsu_0071E_18313.pdf|HufferF|Huffer, Fred|Huffer|Fred||Committee Member
Bailey_fsu_0071N_18421.pdf|PlantE|Plant, E. Ashby|Plant|E. Ashby||Professor Directing Thesis
Bailey_fsu_0071N_18421.pdf|OktenI|Okten, Irmak Olcaysoy|Okten|Irmak Olcaysoy||Committee Member
Bailey_fsu_0071N_18421.pdf|WilliamsD|Williams, Diana|Williams|Diana||Committee Member
