050	100	245	502	650	856	904
LB2326.3	Acosta, Claudia Janel author	How White-Presenting Latina Undergraduate Students Make Sense of and Experience Their Racial Identity / by Claudia Janel Acosta	Ph.D. Florida State University 2024.	Education, Higher	https://purl.lib.fsu.edu/diginole/Acosta_fsu_0071E_18926	0
PS	Adams, Bridget E. author	George and the Dragon / by Bridget E. Adams	Ph.D. Florida State University 2023.	Creative writing	https://purl.lib.fsu.edu/diginole/Adams_fsu_0071E_18181	4
PS	Adams, Jennifer author	Hadrian's Villa / by Jennifer Adams	Ph.D. Florida State University 2024.	Creative writing	https://purl.lib.fsu.edu/diginole/Adams_fsu_0071E_18681	4
LB2805	Adams, Sarah Elizabeth author	Teacher Burnout School Working Conditions and Leadership Characteristics in Mastery School District / by Sarah Elizabeth Adams	Ed.D. Florida State University 2024.	School management and organization	https://purl.lib.fsu.edu/diginole/Adams_fsu_0071E_18954	4
QD71	Adeoye, Damilola Ibukunolu author	Microfluidic Platform for Islet Quality Evaluation / by Damilola Ibukunolu Adeoye	Ph.D. Florida State University 2023.	Chemistry, Analytic	https://purl.lib.fsu.edu/diginole/Adeoye_fsu_0071E_18218	4
QH323.5	Adhikary, Avizit Chandra author	Advanced Bayesian Methods and Applications in Biomedical Data / by Avizit Chandra Adhikary	Ph.D. Florida State University 2024.	Biometry	https://purl.lib.fsu.edu/diginole/Adhikary_fsu_0071E_19024	4
Q181	Akcil Okan, Ozlem author	Science Teachers' Instructional Practices and Vision for Promoting Students' Intellectual Engagement in Science Classrooms / by Ozlem Akcil Okan	Ph.D. Florida State University 2023.	Science	https://purl.lib.fsu.edu/diginole/AkcilOkan_fsu_0071E_17761	4
QD31.3	Akkaoui, Khalil author	Motion in Glass Formers / by Khalil Akkaoui	Ph.D. Florida State University 2023.	Chemistry	https://purl.lib.fsu.edu/diginole/Akkaoui_fsu_0071E_18268	4
G	Alam, Md. Shaharier author	Exploring Urban-Rural Differences in Disaster Vulnerability among Minority Populations in Florida Panhandle Area / by Md. Shaharier Alam	M.S. Florida State University 2023.	Geography	https://purl.lib.fsu.edu/diginole/Alam_fsu_0071N_18228	4
RC466.8	Alfonso, Sarah V. author	Mission Feel! : Feeling Emotions, Enhancing Life: A Novel Emotional Understanding Intervention for Preschoolers / by Sarah V. Alfonso	Ph.D. Florida State University 2022.	Clinical psychology	https://purl.lib.fsu.edu/diginole/Alfonso_fsu_0071E_17372	4
PS	Alharthi, Fatmah author	Past the Gardenia Bush, Beyond the Basketball Hoop : A Hybrid Memoir and an Embedded Fictional Narrative of the Medieval Saint Rabiaa Al-Adawiyyah / by Fatmah Alharthi	Ph.D. Florida State University 2024.	Creative writing	https://purl.lib.fsu.edu/diginole/Alharthi_fsu_0071E_18973	4
TK145	Amarasinghe, Migara Yasaswin author	Parallelizing Complexity : Strategies for Accelerating AI Algorithms and Scientific Simulations in Heterogeneous Computing Environments / by Migara Yasaswin Amarasinghe	Ph.D. Florida State University 2024.	Electrical engineering	https://purl.lib.fsu.edu/diginole/Amarasinghe_fsu_0071E_18939	0
P121	Anderson, James Matthew author	Processing of Ambiguous Relative Clauses in Early Spanish-English Bilingualism : Impacts of Language Mode and Individual Differences / by James Matthew Anderson	Ph.D. Florida State University 2024.	Linguistics	https://purl.lib.fsu.edu/diginole/Anderson_fsu_0071E_18810	4
J	Artiles, Alexandra author	The Determinants of State and Local Preemption Behavior / by Alexandra Artiles	Ph.D. Florida State University 2024.	Political science	https://purl.lib.fsu.edu/diginole/Artiles_fsu_0071E_18924	4
HQ10	Asad, Leena Yahia author	Relationship between Social Networking Sites Behavior and Use and Psychological Well-Being among Emerging Adults / by Leena Yahia Asad	M.S. Florida State University 2024.	Families	https://purl.lib.fsu.edu/diginole/Asad_fsu_0071N_18935	0
M	Asturizaga Hurtado de Mendoza, Vivianne Ines author	Cantos De Mi Tierra : A Sonic Exploration of La Paz, Bolivia / by Vivianne Ines Asturizaga Hurtado De Mendoza	Ph.D. Florida State University 2023.	Music	https://purl.lib.fsu.edu/diginole/Asturizaga_fsu_0071E_18219	4
QA76.27	Ataie, Ismail author	Tasks Offloading for Time-Sensitive Workloads in Fog-Cloud IoT-Based Systems / by Ismail Ataie	Ph.D. Florida State University 2024.	Computer science	https://purl.lib.fsu.edu/diginole/Ataie_fsu_0071E_18156	4
HT166	Atalay, Ozlem author	Understanding Barriers to Full Civic Participation by the LGBTQ+ Community : A Queer Reading of Inclusive City Politics / by Ozlem Atalay	Ph.D. Florida State University 2023.	City planning	https://purl.lib.fsu.edu/diginole/Atalay_fsu_0071E_17946	4
QP	Azeez, Tooyib Akintayo author	Anti-Inflammatory Effect of H2S on Atherosclerosis and Erectile Function / by Tooyib Akintayo Azeez	Ph.D. Florida State University 2024.	Physiology	https://purl.lib.fsu.edu/diginole/Azeez_fsu_0071E_18944	4
QA276.A2	Aziz, Rashad author	Sparse Methods for Latent Class Analysis, Principal Component Analysis and Regression with Missing Data / by Rashad Aziz	Ph.D. Florida State University 2023.	Statistics	https://purl.lib.fsu.edu/diginole/Aziz_fsu_0071E_18258	0
QH541	Barnes, Danielle Kathryn author	Fitness Consequences of Density, Spatial Arrangement, and Relatedness of Neighbors in a Dispersal Limited Invertebrate / by Danielle Kathryn Barnes	M.S. Florida State University 2023.	Ecology	https://purl.lib.fsu.edu/diginole/Barnes_fsu_0071N_18227	4
