050	100	245	502	650	856	904
TK145	Adhikari, Atindra P. (Atindra Prasad), author	Comparative Performance Analysis of Grid-Tied MMC and VSC Converter / by Atindra P. Adhikari	M.S. Florida State University 2022.	Electrical engineering	https://purl.lib.fsu.edu/diginole/2022_Summer_Adhikari_fsu_0071N_17218	0
TA404.2	Aldawsari, Salem, author	Mechanical, Microstructural, and Durability Characterization of Fly Ash/Slag-Based Geopolymer with Limited OPC and Different Alkaline Activator Ratios / by Salem Aldawsari	Ph.D. Florida State University 2022.	Engineering	https://purl.lib.fsu.edu/diginole/2022_Summer_Aldawsari_fsu_0071E_17049	0
QA76.27	Aldossari, Haifa, author	Scrambling Additive Lagged-Fibonacci Generators / by Haifa Aldossari	Ph.D. Florida State University 2022.	Computer science	https://purl.lib.fsu.edu/diginole/2022_Summer_Aldossari_fsu_0071E_17365	0
RC423	Alfonso, Enak, author	Use of a Single Sensor to Detect Articulatory Deficits in Parkinson's Disease : A Feasibility Study / by Enak Alfonso	M.S. Florida State University 2022.	Speech therapy	https://purl.lib.fsu.edu/diginole/2022_Summer_Alfonso_fsu_0071N_17440	0
QA	Anbouhi, Soheil, author	Universal Mappings and the Metric Geometry of Functional Data / by Soheil Anbouhi	Ph.D. Florida State University 2022.	Mathematics	https://purl.lib.fsu.edu/diginole/2022_Summer_Anbouhi_fsu_0071E_17325	0
TJ210.2	Austin, Max, author	Tri-Modal Models of Locomotion Applications to Robot Design and Control / by Max Austin	Ph.D. Florida State University 2022.	Robotics	https://purl.lib.fsu.edu/diginole/2022_Summer_Austin_fsu_0071E_17348	0
Z665	Bak, Hyerin, author	College Students' Fake News Discernment : Critical Thinking, Locus of Control, Need for Cognition, and the Ability to Discern Fact from Opinion / by Hyerin Bak	Ph.D. Florida State University 2022.	Information science	https://purl.lib.fsu.edu/diginole/2022_Summer_Bak_fsu_0071E_17369	0
PL8010	Banini, Josiane Salome, author	(Re)negotiating the Identity of the Contemporary Francophone Subsaharan in the Fiction of Léonora Miano, Calixthe Beyala, and Alain Mabanckou = La (Re)négociation Identitaire Du Subsaharien Francophone Contemporain Dans L'Écriture Romanesque De Léonora Miano, De Calixthe Beyala Et d'Alain Mabanckou / by Josiane Salome Banini	Ph.D. Florida State University 2022.	African literature	https://purl.lib.fsu.edu/diginole/2022_Summer_Banini_fsu_0071E_17273	4
NK1105	Bannister, Rachel, author	Early Elementary Spaces for Active Learning and Constructivist Teaching / by Rachel Bannister	M.F.A. Florida State University 2022.	Design	https://purl.lib.fsu.edu/diginole/2022_Summer_Bannister_fsu_0071N_17434	0
P121	Bates, Daniel, author	Second Language Perception of Spanish Monophthongal Vowels / by Daniel Bates	Ph.D. Florida State University 2022.	Linguistics	https://purl.lib.fsu.edu/diginole/2022_Summer_Bates_fsu_0071E_17231	0
