050	100	245	502	650	856	904
PN1584	Abel, Lauren (Lauren Elizabeth), author	Circus Subjects Genderful Bodies in Aerial Motion / by Lauren Abel	M.A. Florida State University 2022.	Performing arts	https://purl.lib.fsu.edu/diginole/2022_Abel_fsu_0071N_17212	0
PS	Aderibigbe, Michael (Michael Damilola), author	81st Division / by Michael Aderibigbe	Ph.D. Florida State University 2022.		https://purl.lib.fsu.edu/diginole/2022_Aderibigbe_fsu_0071E_16940	4
BL	Adkins, Tucker Frederick, author	New Birth, New World : Space, Sound, and the Body in the Early Evangelical Atlantic World / by Tucker Frederick Adkins	Ph.D. Florida State University 2022.	Religions	https://purl.lib.fsu.edu/diginole/2022_Adkins_fsu_0071E_17168	4
QC869	Agastra, Anxhelo, author	Forecasting Prescribed Fires Using Weather Forecasts, Satellite Data, and Machine Learning / by Anxhelo Agastra	M.S. Florida State University 2022.	Meteorology	https://purl.lib.fsu.edu/diginole/2022_Agastra_fsu_0071N_17219	0
RA565	Ahn, Yoonjung, author	Extreme Heat Prevention Measures for Indoor and Outdoor Environments / by Yoonjung Ahn	Ph.D. Florida State University 2022.	Environmental health	https://purl.lib.fsu.edu/diginole/2022_Ahn_fsu_0071E_16992	0
QD450	Altenhof, Adam Robert, author	New Methods for the Acquisition and Processing of Solid-State NMR Spectra / by Adam Robert Altenhof	Ph.D. Florida State University 2022.	Chemistry, Physical and theoretical	https://purl.lib.fsu.edu/diginole/2022_Altenhof_fsu_0071E_16945	0
M	Anderson, Vivian Joy, author	Two Lecture Recitals : 1. Exploring the Inspiration and Style of Cheryl Frances-Hoad's Homages, Book I and Caroline Shaw's Gustave Le Gray 2. Musical Techniques and Religious Symbolism in Olivier Messiaen's Vingt Regards Sur L'Enfant-Jésus / by Vivian Joy Anderson	D.M. Florida State University  2022 Vivian Joy Anderson.	Music	https://purl.lib.fsu.edu/diginole/2022_Anderson_fsu_0071E_17155	0
NX760	Atkins, Julia, author	How Small Budget Symphony Orchestras in the U.S. Define Success / by Julia Atkins	Ph.D. Florida State University 2022.	Arts	https://purl.lib.fsu.edu/diginole/2022_Atkins_fsu_0071E_17006	0
LB1028.38	Bagdy, Lauren (Lauren M.), author	An Exploration of Teenagers' Use of Affinity Spaces on Social Media Platforms for Informal Learning / by Lauren M. Bagdy	Ph.D. Florida State University 2022.	Instructional systems	https://purl.lib.fsu.edu/diginole/2022_Bagdy_fsu_0071E_17154	0
HV1	Bagneris, Jessica, author	Development and Implementation of a Socioculturally Transformative Intervention for Pre-Service Teachers : A Randomized Controlled Trial / by Jessica Bagneris	Ph.D. Florida State University 2022.	Social service	https://purl.lib.fsu.edu/diginole/2022_Bagneris_fsu_0071E_17238	0
HG173	Barnes, Spencer, author	Two Essays on Corporate Culture / by Spencer Barnes	Ph.D. Florida State University 2022.	Finance	https://purl.lib.fsu.edu/diginole/2022_Barnes_fsu_0071E_16950	0
PS	Barnes, James (James Tanner), author	The King of Ketamine / by James Barnes	M.F.A. Florida State University 2022.		https://purl.lib.fsu.edu/diginole/2022_Barnes_fsu_0071N_17032	4
QD31.3	Beery, Drake, author	The Conversion of Light to Electrical and Mechanical Energy via Triplet Sensitization / by Drake Beery	Ph.D. Florida State University 2022.	Chemistry	https://purl.lib.fsu.edu/diginole/2022_Beery_fsu_0071E_17035	0
QP	Behl, Taylor Ann, author	The Effects of Almond Consumption on Vascular Health, Functional Performance, and Sleep in Active Older Adults Who Are Overweight / by Taylor Ann Behl	Ph.D. Florida State University 2022.	Physiology	https://purl.lib.fsu.edu/diginole/2022_Behl_fsu_0071E_17060	4
GC109	Behnke, Megan Irene, author	Organic Matter Sources, Transformations, and Fates in Northern High-Latitude Regions on the Forefront of Climate Change / by Megan Irene Behnke	Ph.D. Florida State University 2022.	Chemical oceanography	https://purl.lib.fsu.edu/diginole/2022_Behnke_fsu_0071E_16943	4
BL48	Berlin, Skylar, author	Finding Satan : Children's Advertising, Conservative Christians, and Ouija Boards in 1970S and 80S America / by Skylar Berlin	M.A. Florida State University 2022.	Religion	https://purl.lib.fsu.edu/diginole/2022_Berlin_fsu_0071N_17235	0
LB2326.3	Betancourt, Amy Francis, author	Understanding South Florida's Young Alumni and Engagement with Their Alma Mater / by Amy Francis Betancourt	Ed.D. Florida State University 2022.	Education, Higher	https://purl.lib.fsu.edu/diginole/2022_Betancourt_fsu_0071E_17016	0
P301	Betz, Hannah C., author	Cognitive Writing Studies Then and Now : Moving Towards a Cognitive Ecology Model / by Hannah C. Betz	M.A. Florida State University 2022.	Rhetoric	https://purl.lib.fsu.edu/diginole/2022_Betz_fsu_0071N_17170	0
B	Bierson, Marshall, author	The Most General Rightive Activity : Moral Worth as the Formal Excellence of Practical Reason / by Marshall Bierson	Ph.D. Florida State University 2022.	Philosophy	https://purl.lib.fsu.edu/diginole/2022_Bierson_fsu_0071E_17099	4
G	Binoy, Parvathy, author	Remembering Rondo : Black Counter-Memory and Spatial Practices for Environmental and Spatial Justice in Saint Paul's Historic Neighborhood / by Parvathy Binoy	Ph.D. Florida State University 2022.	Geography	https://purl.lib.fsu.edu/diginole/2022_Binoy_fsu_0071E_17152	4
TJ	Boyun, Ayse Feyza, author	Towards Optimization of Point Absorber Wave Energy Converters Using Deep Reinforcement Learning / by Ayse Feyza Boyun	M.S. Florida State University 2022.	Mechanical engineering	https://purl.lib.fsu.edu/diginole/2022_Boyun_fsu_0071N_17009	0
LB2326.3	Brewster, Brittany, author	In Our Words, on Our Terms : Critical Narratives of Black Women Doctoral Scholars / by Brittany Brewster	Ph.D. Florida State University 2022.	Education, Higher	https://purl.lib.fsu.edu/diginole/2022_Brewster_fsu_0071E_17067	0
MT	Brimhall, Kathryn D., author	A Demographic Study of Band Programs and Conductors in the National Association for Music Education's Southern Division / by Kathryn D. Brimhall	M.M.E. Florida State University 2022.	Music	https://purl.lib.fsu.edu/diginole/2022_Brimhall_fsu_0071N_17190	0
M	Brown, Nathaniel J. (Nathaniel Joseph), author	The Organ Sonatas of Paul Hindemith : Approaches to Performance in Condiseration with the Organ Reform Movement and Historical Sources / by Nathaniel J. Brown	D.M. Florida State University 2022.	Music	https://purl.lib.fsu.edu/diginole/2022_Brown_fsu_0071E_16959	0
M	Brown, Jordan R. (Jordan Renee), author	Intellectual Misogynoir : The Role of Hip-Hop and Rhythm and Blues in the Miseducation of Lauryn Hill / by Jordan R. Brown	M.M. Florida State University 2022.	Music	https://purl.lib.fsu.edu/diginole/2022_Brown_fsu_0071N_17002	0
TP155	Burnett, Nicole Biller, author	Crystal Growth, Structural Characterization and Spin Models of Cobalt-Compounds / by Nicole Biller Burnett	M.S. Florida State University 2022.	Chemical engineering	https://purl.lib.fsu.edu/diginole/2022_Burnett_fsu_0071N_17211	0
